front,back
Cela prend du temps,It takes time.
C'est pareil,It is the same
Je suis monté,"I ""went up/ascend """
recontrer de,g?p ai dó
aller à + d?a di?m,di d?n dâu dó
C'est difficile de + Vinf,Th?t khó d? làm gì dó
noun + en + nguyên li?u. Ex : Un sac en cuir,làm t? ch?t li?u gì. Ex : a leather bag
faire des économies. faire des économies pour faire un grand et long voyage.,save money
alimenter la compte. Il est important d'alimenter resgulièrement la compte.,n?p ti?n vào tài kho?n
faire la grasse matinée,to sleep
Faire ses valises,pack the cases
s'en aller,leave
faire la route,drive
s'en faire,to worry
faire peur à quelqu'un,to scare someone
avoir peur de ..,be afraid of something
faire un tour,take a walk
faire le queue,stand in line
avoir faim,to be hungry
avoir soif,to be thirsty
avoir chaud,to be hot
avoir froid,to be cold
avoir raison,to be right
avoir tort,to be wrong
avoir sommeil,to be sleepy
mettre la table,set the table
mettre les voiles,to leave
faisant un tour de table,go around the table
être sûr,be safe
être rapide,fast
être confortable,comfortable
avoir des options,have options
rouler vite,drive fast
facile à garer,easy to park
facile à conduire,easy to drive
être supportive,supportive
consommer de l'essence,consume gasoline(tiêu th? xang)
être économique,economical
respecter l'environment,respect the environment
être écologique,ecological
être chic,chic(sang tr?ng)
être spacieuse,spacious(r?ng rãi)
être silencieuce,silent
être bien équipée,be well equipped
marque. La marque de voiture,brand. Car brand.
pile poil. C'est pile poil entre une voiture et une bicyclette,"Exactly, on time. It is exactly between a car and a bicycle"
Je suis “en train de” + Vinf,I'm doing something
"Si vous voulez ""faire des progre`s"", vous devez travailler","make progress. If you want to make progress, you have to work"
"Je ""prendrai le temps"" de vivre",take the time
prendre des cours de + môn h?c,tham gia l?p h?c nào
faire des feux,make fire
faire attention à,pay attention to
faire semblant de. Ex : Je continuais à faire semblant,pretend to do sth
faire plaisir à qqn. Ex : C'est vraiment agresable de faire plaisir à quelqu'un,to please someone(làm vui lòng ai dó)
nous avons eu (tort) de ....nous avons eu tort de vous faire confiance,We were (wrong) to .... We were wrong to trust you
raconter une histoire. Je lui raconte une histoire,tell a story
avoir l'habitude de. j'ai l'habitude de donner un bain à un bébé,used to(thói quen trong quá kh?)
être tenu responsable. L'enseignant peut être tenu responsable en cas d'accident.,take responsible for. The teacher can take responsible for the case of an accident.
un défaut de.un défaut de vigilance pourra le faire,a lack of sthing. s? thi?u c?nh giác có th? làm nhu v?y
être mise en cause. La responsabilité de l'enseignant est mise en case.,be questioned
être doter. vous êtes doté d'un bon sens de l'observation.,du?c tr?i phú cho cái gì. you have a good sense of observation.
"il “fait rire” ses amis. Ils moi ""font rire"".",make someone laugh
“c’est quelqu’un” d’assez généreux,it is someone who ...
à vrai dire,as a matter of fact
faire en sorte. Je ferai en sorte d'ouvrir ta cage afin de te laisser t'enfuir.,make sure. I'll make sure to open your cage to let you run away
sans encombre. Si mon plan se déroule sans encombre,without issue. If my plan goes without issues
sans rancune,"sans rancune, no resentment(không oán h?n)"
mettre en commun.  mettre en commun les réponses et justifiez-vous,"pool, combine. tr? l?i nhóm và t? bi?n minh"
"en cas d'empêchement. en cas d'empêchement, veuillez en aviser au plus tard 48 hours avant la date du rendez-vous.","In case you can not, please notify at least 48 hours before the date of the appointment."
en aviser. veuillez en aviser au plus tard 48 hours avant la date du rendez-vous.,notify. please notify 48 hours before the date of the meeting at the latest.
